ER1	ER2	ER3	ER4	ER5	ER6	ER7	ER8	ER9	ER10	ER11	ER12	ER13	ER14
ENSG00000106483	92.6820933425793	29.0337236409736	22.1073015409292	6.09554084617351	0.990729580144285	2.32416090555948	2.80718056744003	2.76273152251029	0.913135425516065	1.18817669957202	0.156716963927954	0.808122557271124	0.557948806748846	0.220631669998567
ENSG00000167244	106.348774903265	31.6289168155858	21.0545728961231	5.45390496762893	4.55735606866371	2.71152105648606	6.21589982790291	4.24276626671223	1.3697031382741	1.44278599233745	1.88060356713544	1.13137158017957	1.11589761349769	0.882526679994268
ENSG00000004799	111.846865186299	32.1155155358256	23.4232123469369	15.8804879939784	9.70914988541399	7.7472030185316	9.6246190883658	7.10416677216932	3.46991461696105	2.88557198467491	3.13433927855907	2.90924120617605	1.11589761349769	2.86821170998137
ENSG00000077942	71.6322619732477	21.4103436905504	18.6859334453092	4.33104218017591	1.98145916028857	3.09888120741264	3.2082063627886	0.986689829467961	0.365254170206426	0.848697642551443	0.940301783567722	0.484873534362675	0.697436008436057	1.10315834999283
ENSG00000145423	83.8851488897243	28.0605262004941	20.52820857372	7.21840363362652	3.17033465646171	2.71152105648606	6.4164127255772	4.34143524965903	1.64364376592892	2.20661387063375	2.0373205310634	1.61624511454225	1.39487201687211	1.76505335998854
ENSG00000151692	31.1034821725944	11.3539701389282	10.26410428686	3.44879284717712	7.72769072512542	4.64832181111896	2.80718056744003	4.73611118144621	2.37415210634177	1.86713481361317	1.72388660320749	2.10111864890492	0.836923210123269	1.54442168998997
ENSG00000116285	13.1954166792825	18.0041526488719	18.9491156065107	14.436807267253	9.11471213732742	7.7472030185316	8.0205159069715	7.89351863574369	4.01779587227069	5.09218585530866	4.23135802605475	3.39411474053872	5.44000086580125	2.86821170998137
ENSG00000155657	72.2606151484517	58.8784451490135	46.5832425326723	5.29349599799278	3.36848057249057	1.54944060370632	3.40871926046289	2.26938660777631	2.64809273399659	2.37635339914404	2.42911294088328	2.02030639317781	1.39487201687211	0.772210844994984
ENSG00000115461	554.050412236063	97.8874425549027	52.6364322403076	8.34126642107954	5.05272085873585	6.19776241482528	5.21333533953148	4.63744219849942	1.27838959572249	1.69739528510289	1.41045267535158	1.45462060308802	1.95282082362096	1.76505335998854
ENSG00000247627	7.85441469004909	12.6515667262343	14.2118367048831	9.30372023889641	7.52954480909657	6.19776241482528	6.01538693022863	7.6961806698501	3.83516878716747	4.07374868424693	3.29105624248703	2.5859921832676	2.23179522699538	1.76505335998854
ENSG00000166033	64.4062004584026	18.0041526488719	15.0013831884877	5.45390496762893	5.74623156483685	4.64832181111896	6.4164127255772	3.35474542019107	2.73940627654819	3.56453009871606	2.3507544589193	2.42436767181337	1.95282082362096	2.20631669998567
ENSG00000248527	907.18489670067	1216.17240145263	1171.16061734684	864.042914945095	499.525854308749	640.5000095571	530.958153041513	557.677091615292	497.019612108394	416.201323907228	411.61710575677	245.507632898968	249.12414221336	311.862865542974
ENSG00000188257	100.85068462023	18.9773500893515	16.0541118332938	1.92490763563374	1.98145916028857	2.32416090555948	3.2082063627886	1.77604169304233	0.913135425516065	1.18817669957202	1.09701874749568	0.808122557271124	1.53435921855933	0.661895009995701
ENSG00000198727	6825.01510077126	11559.3958986561	9577.98839260758	7908.88404342531	4823.36696093245	4671.56342017455	3459.24851067681	4326.24022628522	3439.68983437646	2494.91645980848	3009.35749982653	1628.77101417995	1648.18077513609	2259.48893245532
ENSG00000274536	76.5019990810782	77.6124958782451	52.7680233209084	60.5543860376447	43.4930285683341	49.3884192431389	38.2979634557889	47.8544567291961	28.8550794463076	29.4498081965351	30.7948834118429	29.0115998060334	25.6656451104469	27.6892745848202
ENSG00000137745	60.321904819577	57.7430481351207	42.1091457922461	17.0033507814314	10.8980253815871	12.008164678724	8.0205159069715	9.07754643110524	5.84406672330281	8.31723689700414	5.95524462926224	6.94985399253167	7.39282168942221	6.39831842995844
ENSG00000198886	10250.0111705141	17638.392610825	14598.9776640105	13085.5221070382	8093.86437794675	8096.9892348183	5883.0484177636	7082.36092693808	6065.77600461812	4479.85050620779	5183.41358191707	3394.92286309599	3136.57896073948	3901.76076808966
ENSG00000198899	4360.92812420906	7656.95526211978	6261.7615703876	5381.40011335339	3395.52749002851	3378.55523638163	1972.24486152429	2773.97978656623	2572.57643430641	1886.48511986335	2181.73521332301	1343.58456371897	1299.25354011553	1524.4545238551
ENSG00000125730	170.283710480264	40.2254942064886	27.1077626037584	8.02044848180725	5.05272085873585	4.64832181111896	3.60923215813718	3.35474542019107	2.37415210634177	2.03687434212346	6.11196159319019	1.77786962599647	2.51076963036981	1.54442168998997
ENSG00000106366	17.59388890571	22.4646409177366	29.7395842157738	12.8327175708916	9.90729580144285	9.29664362223791	6.81743852092578	9.07754643110524	6.75720214881888	6.28036255488068	8.7761499799654	6.46498045816899	4.8123084582088	3.86105422497492
ENSG00000198763	5045.04764371233	8848.63552798701	7263.30128484005	5685.37511081389	3875.33782569239	4062.24590276704	2433.02350037981	3045.9115035676	2677.76963532586	2036.6197328307	2424.95994133919	1711.11870276588	1572.57871182162	2036.87157742677
ENSG00000122176	38.3295436874396	14.2735624603669	14.4750188660846	5.61431393726507	3.17033465646171	1.16208045277974	3.2082063627886	2.36805559072311	1.4610166808257	1.18817669957202	0.626867855711815	1.45462060308802	2.09230802530817	1.54442168998997
ENSG00000244734	442.203547049764	117.108092004374	100.009221256584	16.4419193877049	7.52954480909657	4.64832181111896	12.6323125534801	6.61082185743534	0.913135425516065	1.61252552084774	1.72388660320749	2.02030639317781	0.906666810966875	4.85389673996847
ENSG00000198786	4952.05137378215	7156.73177771329	6213.59923488772	5719.46201686157	3389.38496663161	4065.15110389899	3027.14321618872	3405.65861539161	3532.8296477791	2521.82017507736	2678.9981398664	1989.43611149005	1779.0197703187	2012.27114622193
